Industry,_L1,_L2,clean_image_url,clipping_image_url,current_price,flyer_id,flyer_item_id,id,item_type,merchant_id,merchant_logo,merchant_name,name,original_price,post_price_text,pre_price_text,premium,sale_story,valid_from,valid_to
Supermarket,"Food, Beverages & Tobacco",Beverages,https://f.wishabi.net/page_items/249650476/1644252269/extra_large.jpg,https://f.wishabi.net/page_items/249650476/1644252269/extra_large.jpg,1.97,4662241,634593988,634593988,flyer,2392,http://s3.amazonaws.com/images.wishabi.ca/merchants/K0G5rxYe9ed30Q==/RackMultipart20191105-1-1kjoukd.jpg,Fred Meyer,Fred Meyer Water,,ea with card & digital coupon,,True,,2022-02-09T05:00:00+00:00,2022-02-16T04:59:59+00:00
Supermarket,"Food, Beverages & Tobacco",Food Items,https://f.wishabi.net/page_items/249653796/1644252282/extra_large.jpg,https://f.wishabi.net/page_items/249653796/1644252282/extra_large.jpg,5.97,4662241,634594038,634594038,flyer,2392,http://s3.amazonaws.com/images.wishabi.ca/merchants/K0G5rxYe9ed30Q==/RackMultipart20191105-1-1kjoukd.jpg,Fred Meyer,Bundt Cake,,ea with card & digital coupon,,True,,2022-02-09T05:00:00+00:00,2022-02-16T04:59:59+00:00
Supermarket,"Food, Beverages & Tobacco",Beverages,https://f.wishabi.net/page_items/250427102/1644252251/extra_large.jpg,https://f.wishabi.net/page_items/250427102/1644252251/extra_large.jpg,7.0,4662241,636487742,636487742,flyer,2392,http://s3.amazonaws.com/images.wishabi.ca/merchants/K0G5rxYe9ed30Q==/RackMultipart20191105-1-1kjoukd.jpg,Fred Meyer,Califia Farms Almondmilk or Oatmilk,,WITH CARD,2/,True,,2022-02-09T05:00:00+00:00,2022-02-16T04:59:59+00:00
Supermarket,"Food, Beverages & Tobacco",Beverages,https://f.wishabi.net/page_items/249650454/1644252266/extra_large.jpg,https://f.wishabi.net/page_items/249650454/1644252266/extra_large.jpg,4.99,4662241,634593956,634593956,flyer,2392,http://s3.amazonaws.com/images.wishabi.ca/merchants/K0G5rxYe9ed30Q==/RackMultipart20191105-1-1kjoukd.jpg,Fred Meyer,Planet Oat Oatmilk,,WITH CARD,,True,,2022-02-09T05:00:00+00:00,2022-02-16T04:59:59+00:00
Supermarket,"Food, Beverages & Tobacco",Food Items,https://f.wishabi.net/page_items/249650609/1644252256/extra_large.jpg,https://f.wishabi.net/page_items/249650609/1644252256/extra_large.jpg,2.49,4662241,634593687,634593687,flyer,2392,http://s3.amazonaws.com/images.wishabi.ca/merchants/K0G5rxYe9ed30Q==/RackMultipart20191105-1-1kjoukd.jpg,Fred Meyer,Kerrygold Pure Irish Butter,3.49,Ea With Card,,True,,2022-02-09T05:00:00+00:00,2022-02-16T04:59:59+00:00
Supermarket,"Food, Beverages & Tobacco",Food Items,https://f.wishabi.net/page_items/249650593/1644252251/extra_large.jpg,https://f.wishabi.net/page_items/249650593/1644252251/extra_large.jpg,3.29,4662241,634593636,634593636,flyer,2392,http://s3.amazonaws.com/images.wishabi.ca/merchants/K0G5rxYe9ed30Q==/RackMultipart20191105-1-1kjoukd.jpg,Fred Meyer,Nabisco Family Size Oreos,4.29,Ea With Card,,True,,2022-02-09T05:00:00+00:00,2022-02-16T04:59:59+00:00
Supermarket,"Food, Beverages & Tobacco",Beverages,https://f.wishabi.net/page_items/249652185/1644252259/extra_large.jpg,https://f.wishabi.net/page_items/249652185/1644252259/extra_large.jpg,11.88,4662241,634593303,634593303,flyer,2392,http://s3.amazonaws.com/images.wishabi.ca/merchants/K0G5rxYe9ed30Q==/RackMultipart20191105-1-1kjoukd.jpg,Fred Meyer,"Coca-Cola, Pepsi or 7UP",,When You Buy 4 With Card,4/,True,,2022-02-09T05:00:00+00:00,2022-02-16T04:59:59+00:00
Supermarket,"Food, Beverages & Tobacco",Food Items,https://f.wishabi.net/page_items/249650056/1644252250/extra_large.jpg,https://f.wishabi.net/page_items/249650056/1644252250/extra_large.jpg,1.97,4662241,634593181,634593181,flyer,2392,http://s3.amazonaws.com/images.wishabi.ca/merchants/K0G5rxYe9ed30Q==/RackMultipart20191105-1-1kjoukd.jpg,Fred Meyer,Kroger Butter,,ea with card & digital coupon,,True,,2022-02-09T05:00:00+00:00,2022-02-16T04:59:59+00:00
Supermarket,"Food, Beverages & Tobacco",Food Items,https://f.wishabi.net/page_items/249650304/1644252253/extra_large.jpg,https://f.wishabi.net/page_items/249650304/1644252253/extra_large.jpg,10.0,4662241,634593820,634593820,flyer,2392,http://s3.amazonaws.com/images.wishabi.ca/merchants/K0G5rxYe9ed30Q==/RackMultipart20191105-1-1kjoukd.jpg,Fred Meyer,Annie's Natural Macaroni & Cheese,,WITH CARD,10/,True,,2022-02-09T05:00:00+00:00,2022-02-16T04:59:59+00:00
Supermarket,"Food, Beverages & Tobacco",Food Items,https://f.wishabi.net/page_items/249650299/1644252252/extra_large.jpg,https://f.wishabi.net/page_items/249650299/1644252252/extra_large.jpg,6.0,4662241,634593813,634593813,flyer,2392,http://s3.amazonaws.com/images.wishabi.ca/merchants/K0G5rxYe9ed30Q==/RackMultipart20191105-1-1kjoukd.jpg,Fred Meyer,Simple Truth Organic Cheese,,WITH CARD,2/,True,,2022-02-09T05:00:00+00:00,2022-02-16T04:59:59+00:00
Supermarket,"Food, Beverages & Tobacco",Food Items,https://f.wishabi.net/page_items/249650067/1644252252/extra_large.jpg,https://f.wishabi.net/page_items/249650067/1644252252/extra_large.jpg,4.97,4662241,634593200,634593200,flyer,2392,http://s3.amazonaws.com/images.wishabi.ca/merchants/K0G5rxYe9ed30Q==/RackMultipart20191105-1-1kjoukd.jpg,Fred Meyer,32 oz Kroger Cheese,5.97,Ea With Card,,True,,2022-02-09T05:00:00+00:00,2022-02-16T04:59:59+00:00
Supermarket,"Food, Beverages & Tobacco",Food Items,https://f.wishabi.net/page_items/249650471/1644252269/extra_large.jpg,https://f.wishabi.net/page_items/249650471/1644252269/extra_large.jpg,2.47,4662241,634593980,634593980,flyer,2392,http://s3.amazonaws.com/images.wishabi.ca/merchants/K0G5rxYe9ed30Q==/RackMultipart20191105-1-1kjoukd.jpg,Fred Meyer,Kroger Cheese Slices,,ea with card & digital coupon,,True,,2022-02-09T05:00:00+00:00,2022-02-16T04:59:59+00:00
Supermarket,"Food, Beverages & Tobacco",Food Items,https://f.wishabi.net/page_items/249650414/1644252262/extra_large.jpg,https://f.wishabi.net/page_items/249650414/1644252262/extra_large.jpg,4.99,4662241,634593908,634593908,flyer,2392,http://s3.amazonaws.com/images.wishabi.ca/merchants/K0G5rxYe9ed30Q==/RackMultipart20191105-1-1kjoukd.jpg,Fred Meyer,Chobani Greek Yogurt,,WITH CARD,,True,,2022-02-09T05:00:00+00:00,2022-02-16T04:59:59+00:00
Supermarket,"Food, Beverages & Tobacco",Food Items,https://f.wishabi.net/page_items/250427100/1644252250/extra_large.jpg,https://f.wishabi.net/page_items/250427100/1644252250/extra_large.jpg,3.99,4662241,636487741,636487741,flyer,2392,http://s3.amazonaws.com/images.wishabi.ca/merchants/K0G5rxYe9ed30Q==/RackMultipart20191105-1-1kjoukd.jpg,Fred Meyer,Noosa Yoghurt,,WITH CARD,,True,,2022-02-09T05:00:00+00:00,2022-02-16T04:59:59+00:00
Supermarket,"Food, Beverages & Tobacco",Food Items,https://f.wishabi.net/page_items/249650635/1644252257/extra_large.jpg,https://f.wishabi.net/page_items/249650635/1644252257/extra_large.jpg,1.99,4662241,634593696,634593696,flyer,2392,http://s3.amazonaws.com/images.wishabi.ca/merchants/K0G5rxYe9ed30Q==/RackMultipart20191105-1-1kjoukd.jpg,Fred Meyer,Velveeta Shells & Cheese,2.99,Ea With Card,,True,,2022-02-09T05:00:00+00:00,2022-02-16T04:59:59+00:00
